cgpa,iq,communication_skill,internships,projects,coding_skill,attendance,aptitude_score,logical_reasoning,placement
7.91,109.0,4,1,4,1,85.0,88.8,70.9,1
6.36,90.0,6,0,2,5,65.5,62.4,60.6,1
6.31,110.0,3,0,4,2,66.1,35.7,61.8,0
6.67,119.0,4,2,1,9,74.7,78.8,60.5,1
4.24,97.0,9,1,4,7,49.4,57.8,74.7,0
5.18,103.0,5,0,0,4,57.6,80.1,66.5,0
8.64,105.0,7,1,2,4,71.2,45.8,66.7,1
8.97,95.0,10,1,3,2,80.7,71.2,78.3,1
6.7,112.0,2,1,4,5,65.4,53.0,84.1,1
7.69,103.0,5,1,4,4,72.6,68.0,93.7,0
7.37,110.0,9,2,3,1,55.6,76.5,51.3,1
10.0,94.0,3,2,4,8,86.2,73.0,97.0,1
8.34,99.0,9,1,1,3,77.6,66.0,43.5,0
6.85,113.0,6,1,2,6,78.7,44.3,89.0,0
5.85,100.0,4,1,2,4,80.9,76.0,50.5,0
5.07,125.0,7,2,2,9,75.9,80.5,59.0,1
,100.0,8,1,2,7,,49.4,60.3,0
6.09,107.0,6,0,3,9,88.6,51.6,47.0,1
5.29,116.0,5,0,1,10,76.9,81.1,61.3,0
6.22,87.0,6,1,3,3,73.0,61.9,47.8,0
5.7,83.0,5,1,1,1,74.9,51.9,41.5,0
9.02,86.0,8,2,2,5,74.6,69.1,59.4,1
8.06,120.0,1,0,2,3,72.9,55.4,83.8,0
6.99,98.0,7,1,3,6,80.4,67.4,56.2,1
8.78,135.0,10,2,3,8,63.8,58.8,74.1,1
7.09,98.0,10,2,3,4,64.6,60.1,47.3,1
5.97,107.0,2,1,1,5,81.7,81.7,40.7,0
8.83,123.0,9,1,3,5,73.3,30.0,66.8,1
7.65,129.0,1,1,1,4,86.7,73.3,86.3,1
,129.0,10,3,2,4,79.9,79.2,63.1,1
6.77,119.0,6,0,2,4,68.4,55.7,72.4,0
5.95,117.0,9,3,0,4,81.9,79.1,82.4,1
5.34,112.0,1,2,2,4,89.4,50.6,59.5,1
8.11,114.0,4,1,4,5,80.4,55.1,57.7,1
9.29,98.0,4,0,4,2,83.0,53.4,67.1,1
5.32,95.0,9,1,2,2,72.9,79.3,69.8,0
7.68,104.0,5,1,0,9,86.9,38.8,39.0,0
6.22,102.0,5,0,1,2,68.0,89.6,64.4,0
6.42,99.0,6,2,2,6,79.1,60.4,60.0,1
6.29,113.0,1,3,4,2,100.0,74.2,48.2,0
5.96,116.0,1,1,1,5,81.5,72.9,59.0,0
7.06,106.0,9,2,3,4,70.0,67.3,42.5,1
6.0,122.0,3,0,1,7,69.9,56.0,37.3,0
7.32,91.0,4,1,5,7,74.1,83.6,61.0,1
6.94,102.0,1,0,2,6,85.2,57.3,73.5,0
6.71,,9,1,3,10,76.7,54.0,54.8,1
5.91,82.0,8,3,2,5,67.2,78.2,45.6,1
6.31,104.0,2,2,3,1,67.2,67.2,47.9,0
7.91,103.0,8,0,1,3,76.8,85.4,68.2,1
7.6,123.0,7,1,1,9,75.5,64.1,85.0,1
5.83,112.0,6,1,4,1,80.5,55.2,71.6,0
7.12,92.0,1,1,4,5,86.0,69.1,79.5,1
7.9,127.0,7,2,4,2,100.0,58.3,44.3,1
5.0,119.0,10,2,3,4,57.5,55.7,58.9,0
7.65,,7,1,3,1,83.2,77.5,75.3,1
6.2,102.0,9,1,1,3,76.2,92.5,39.0,0
7.68,93.0,1,1,2,10,52.9,61.3,50.1,0
6.08,100.0,2,0,2,7,90.0,50.4,74.1,0
4.83,118.0,9,1,3,10,80.1,62.7,63.9,0
5.05,127.0,9,1,2,3,84.6,72.7,45.5,0
7.06,123.0,6,2,1,4,54.6,68.9,35.5,1
7.31,99.0,6,2,3,2,72.4,82.9,80.1,1
5.91,91.0,4,0,3,3,62.0,75.0,30.0,0
7.77,106.0,4,1,2,9,100.0,48.4,69.5,1
5.01,83.0,5,0,1,3,88.7,57.6,52.0,0
6.92,108.0,3,0,1,5,66.8,44.3,75.7,1
5.55,103.0,1,2,2,2,56.6,82.2,44.4,0
6.22,99.0,1,0,2,4,77.3,35.1,99.2,0
7.06,85.0,7,1,3,7,88.1,45.8,66.0,0
5.97,111.0,1,0,3,7,54.2,57.3,68.5,0
6.54,98.0,1,2,3,3,63.8,73.5,48.4,0
8.21,90.0,3,1,2,5,61.7,57.2,58.0,1
6.31,80.0,10,0,4,1,85.4,59.5,58.4,0
8.0,104.0,4,1,1,10,70.6,59.8,86.9,1
5.64,126.0,4,2,2,10,71.1,67.6,66.0,1
7.64,124.0,2,3,3,10,77.1,46.7,68.2,1
8.73,99.0,1,0,1,1,64.5,50.8,68.0,0
4.03,97.0,3,2,1,5,57.7,90.2,69.4,0
6.04,110.0,4,3,4,10,91.4,71.0,39.2,1
,93.0,3,3,2,9,92.5,76.4,90.7,1
6.76,108.0,8,1,3,1,77.2,65.9,46.8,1
7.45,114.0,10,1,0,1,78.0,62.9,59.4,0
6.28,119.0,1,1,3,4,90.1,71.9,83.0,1
7.1,103.0,2,2,2,4,76.9,75.9,89.0,1
6.81,102.0,7,1,1,2,70.0,77.7,72.1,0
8.4,94.0,4,2,3,9,75.5,63.1,52.4,0
7.31,95.0,8,1,2,9,91.7,79.3,61.9,1
7.41,102.0,3,2,2,2,75.6,30.0,62.5,1
6.51,,6,2,1,9,67.0,78.4,63.0,1
6.41,,9,0,1,6,76.8,58.6,41.5,1
6.48,95.0,1,2,2,8,82.9,73.3,78.9,1
7.47,122.0,1,1,1,10,81.4,55.3,62.0,1
6.49,101.0,8,2,4,4,81.6,45.1,49.2,0
7.35,104.0,3,1,0,2,65.1,70.1,52.5,0
9.49,96.0,5,1,2,2,84.2,42.5,64.0,0
8.05,80.0,1,2,1,9,75.3,59.0,39.0,1
6.61,115.0,5,1,2,1,66.5,52.8,73.2,1
8.44,113.0,6,2,4,7,84.1,62.4,63.5,1
6.51,101.0,8,1,1,3,69.6,77.0,83.5,1
4.55,105.0,3,1,5,3,56.1,57.7,61.2,0
5.79,111.0,3,1,1,2,63.0,69.7,43.7,1
4.76,86.0,10,1,3,10,72.8,76.1,42.0,0
6.58,98.0,9,1,3,6,81.9,55.9,54.1,1
7.02,114.0,4,0,4,10,64.6,56.1,55.7,1
9.01,89.0,4,1,3,2,72.1,85.5,51.5,0
7.39,108.0,7,0,2,10,60.4,63.8,61.9,0
6.74,88.0,2,3,1,4,86.8,72.6,51.1,0
8.0,110.0,8,3,1,10,,72.5,63.8,1
4.35,104.0,6,1,4,9,94.3,47.0,52.2,0
7.28,85.0,3,2,2,9,86.6,53.6,69.5,1
7.93,118.0,9,1,2,6,85.4,70.6,55.3,1
5.23,96.0,5,2,3,4,50.1,34.0,78.7,1
8.37,95.0,8,2,2,7,77.1,61.8,69.8,1
7.41,107.0,7,3,4,1,69.0,52.0,62.9,1
6.5,118.0,8,1,3,4,85.6,81.7,56.9,1
7.76,92.0,7,2,3,5,44.5,70.2,37.2,1
9.72,105.0,3,1,4,8,77.3,82.9,81.2,1
7.22,110.0,2,3,1,2,72.4,64.4,49.8,0
7.3,113.0,7,0,2,5,88.4,63.3,61.4,0
6.45,107.0,3,1,2,6,93.6,60.4,65.2,0
5.98,100.0,3,2,1,5,63.9,57.5,57.2,0
8.0,95.0,2,2,3,9,64.4,100.0,80.3,1
5.97,106.0,4,0,4,10,77.8,77.1,41.7,1
7.09,92.0,8,3,2,1,95.8,49.0,86.0,1
6.43,80.0,1,0,2,3,75.7,100.0,70.1,0
7.57,110.0,1,1,5,2,59.7,58.9,56.3,1
7.4,115.0,5,0,2,3,67.7,69.8,56.5,0
8.25,80.0,5,1,2,10,77.4,79.1,30.0,1
6.39,92.0,1,1,2,9,77.9,41.9,47.3,0
6.68,112.0,6,1,4,9,66.6,52.6,54.7,1
5.83,129.0,1,0,3,10,67.5,89.7,62.6,0
6.47,105.0,5,0,3,2,63.2,61.6,78.9,0
7.45,96.0,9,1,3,3,88.7,80.0,90.6,1
7.91,102.0,5,2,2,4,65.0,58.2,64.1,1
5.89,121.0,6,2,2,9,69.4,63.6,63.1,1
8.04,97.0,8,0,4,3,,91.8,52.6,0
8.63,95.0,1,1,2,7,55.7,71.6,34.3,1
7.5,99.0,2,0,3,3,64.6,59.8,50.9,0
9.25,93.0,9,0,4,7,89.7,54.7,56.9,1
6.07,106.0,3,2,3,7,60.5,56.1,74.6,0
5.51,124.0,6,1,3,9,63.4,83.6,67.8,1
4.87,108.0,5,0,3,2,59.0,76.5,63.3,0
8.8,101.0,2,0,4,6,73.9,47.8,51.3,1
7.79,101.0,7,0,2,9,97.6,66.3,30.3,0
6.93,86.0,4,2,1,2,73.4,64.0,31.2,1
7.34,115.0,1,3,2,2,75.8,69.7,35.0,1
5.65,104.0,4,0,3,5,65.5,55.9,55.6,0
9.93,102.0,6,0,2,10,74.3,81.5,74.9,1
7.16,140.0,7,2,3,10,89.7,65.0,74.5,1
7.13,108.0,7,3,2,10,76.7,70.6,71.9,1
7.87,95.0,7,1,3,8,100.0,53.2,52.3,1
7.58,99.0,3,0,1,9,90.1,54.0,77.2,1
7.27,118.0,6,0,3,2,74.0,100.0,46.0,1
6.05,106.0,8,1,3,5,73.7,92.0,72.8,1
7.57,87.0,4,1,1,7,94.6,64.0,34.9,0
9.26,116.0,8,0,2,6,76.6,88.0,42.3,1
8.61,96.0,2,1,3,6,91.9,83.2,84.8,1
8.91,127.0,10,0,2,7,99.0,55.6,56.9,1
6.39,117.0,9,2,1,3,72.5,54.1,49.8,1
5.81,99.0,9,1,5,3,79.2,75.0,76.5,1
6.85,120.0,8,0,3,10,86.8,68.9,78.3,1
7.07,105.0,10,1,4,9,84.2,59.0,53.5,1
8.31,115.0,10,1,2,8,84.1,75.8,64.2,1
4.97,110.0,1,3,2,5,59.0,43.4,62.1,1
8.84,94.0,2,1,4,6,64.8,66.7,30.0,0
6.81,97.0,6,1,2,10,69.1,46.4,39.1,1
6.49,117.0,10,2,3,1,89.6,46.9,74.1,1
5.79,100.0,5,1,2,10,60.2,54.4,47.5,0
5.01,100.0,9,2,2,1,93.3,70.4,67.9,0
7.99,93.0,5,1,1,4,84.4,54.9,63.9,1
7.09,110.0,2,1,1,2,88.9,46.7,78.2,0
5.45,129.0,10,0,0,7,63.8,72.2,39.5,1
5.45,92.0,4,1,0,2,,87.4,65.9,0
6.6,105.0,9,2,5,10,78.6,74.6,59.0,1
9.0,121.0,1,2,2,2,78.1,92.0,48.2,1
6.69,104.0,1,0,3,5,78.5,86.1,48.0,0
5.2,110.0,7,0,4,4,71.7,57.7,63.4,0
6.71,92.0,3,2,3,8,76.6,74.5,69.4,0
6.67,110.0,10,3,1,4,87.4,63.6,61.0,1
4.0,102.0,2,0,3,6,61.0,80.9,61.4,0
6.93,116.0,9,1,3,5,93.6,63.6,52.5,1
6.72,119.0,3,1,3,2,86.8,53.2,53.5,0
7.84,136.0,2,2,3,8,63.4,85.6,48.1,1
9.22,111.0,8,0,5,2,79.6,,52.2,1
8.35,108.0,10,0,3,9,85.8,55.0,68.9,1
6.68,107.0,6,2,2,9,60.2,57.5,70.6,1
5.67,100.0,6,0,3,3,75.5,55.0,40.9,0
,109.0,10,1,1,4,74.1,50.0,46.6,1
7.07,101.0,7,1,4,8,67.3,57.8,49.3,0
7.02,107.0,7,1,1,9,76.1,70.6,59.0,0
6.97,120.0,6,1,2,3,67.8,66.0,34.8,0
7.24,92.0,4,1,3,5,91.5,58.4,46.8,0
6.83,118.0,9,0,3,8,67.5,87.4,39.2,1
6.31,120.0,6,1,2,3,84.5,34.8,66.0,1
6.34,103.0,4,2,2,7,,69.6,59.6,0
6.96,80.0,3,2,4,8,73.1,62.9,53.1,0
6.35,97.0,4,0,2,10,75.1,50.4,44.1,0
6.14,120.0,3,0,4,3,72.7,70.5,53.3,0
7.13,104.0,2,1,1,2,70.2,61.7,51.5,0
6.69,93.0,5,1,3,10,67.0,83.7,84.5,1
8.8,98.0,2,1,4,7,84.1,78.0,75.0,1
4.0,115.0,6,2,1,9,87.0,93.6,49.6,0
8.31,111.0,3,0,2,1,74.0,57.8,62.5,1
8.5,102.0,6,0,1,3,61.8,85.9,74.2,0
4.51,100.0,10,1,3,5,96.5,47.5,49.6,1
6.59,100.0,9,2,2,3,64.4,63.3,38.7,0
6.55,93.0,1,0,3,1,57.5,58.0,33.0,0
5.31,124.0,6,1,1,7,50.8,74.0,79.1,1
6.07,101.0,9,1,1,7,76.2,73.7,57.1,1
5.67,119.0,4,2,0,10,72.4,51.5,64.4,1
9.1,123.0,2,2,2,8,87.4,74.9,51.4,1
8.12,116.0,4,1,3,5,82.3,59.3,41.0,1
8.53,99.0,1,0,4,10,78.5,52.7,43.8,0
7.87,109.0,3,1,3,5,71.7,64.8,39.9,0
5.65,104.0,10,1,2,5,88.3,42.8,72.7,1
6.37,94.0,9,2,4,1,97.4,79.0,82.4,0
7.59,108.0,10,2,3,10,87.1,64.2,60.6,1
5.53,90.0,5,2,4,5,69.4,64.5,37.2,0
7.86,119.0,6,2,2,6,84.4,63.7,67.4,1
6.71,99.0,3,1,2,1,70.2,89.7,79.0,1
6.55,107.0,5,0,1,7,61.7,87.8,74.6,1
7.85,108.0,8,2,3,1,64.2,85.3,59.6,1
7.53,101.0,6,1,1,2,70.7,63.7,56.5,1
6.57,112.0,4,2,2,2,76.2,48.3,59.4,0
8.39,99.0,2,1,2,5,99.7,64.8,78.4,1
5.7,115.0,9,0,3,10,64.4,69.7,71.4,1
7.74,88.0,1,4,3,7,90.9,77.2,54.2,1
7.71,106.0,1,0,1,1,71.2,69.7,53.8,0
6.63,128.0,4,3,2,10,50.8,49.6,52.8,1
7.39,92.0,7,3,3,1,68.9,57.0,44.0,1
5.5,96.0,1,2,5,1,89.1,55.6,80.3,0
8.11,111.0,9,2,3,6,79.1,,48.2,1
6.78,,4,1,4,2,79.9,73.5,67.4,0
6.37,109.0,3,2,3,1,90.9,75.4,50.1,1
8.26,110.0,1,1,3,6,62.6,69.5,52.8,0
6.15,112.0,10,1,1,2,62.4,34.1,58.3,0
5.31,118.0,4,1,3,6,47.8,39.1,68.2,0
5.13,109.0,9,1,3,10,85.5,62.9,56.1,1
7.73,102.0,10,1,3,8,81.7,66.5,42.9,1
5.46,113.0,6,1,2,2,83.7,83.8,60.3,0
9.11,127.0,6,1,2,9,60.8,66.2,48.5,1
4.5,103.0,1,2,2,8,55.7,50.4,83.2,0
9.04,93.0,10,0,2,10,59.2,74.9,56.1,1
7.25,118.0,2,3,1,1,63.9,64.7,50.0,0
6.88,103.0,6,2,3,7,93.6,59.0,89.6,1
6.35,80.0,2,2,1,10,87.0,40.8,71.1,0
7.48,115.0,3,1,1,6,69.5,66.3,46.5,0
6.95,98.0,4,2,2,6,78.6,68.4,48.1,1
8.32,103.0,5,0,3,6,66.9,50.1,67.1,1
7.14,108.0,9,2,2,6,79.4,76.2,60.7,1
7.18,107.0,4,0,2,10,61.3,74.8,73.4,1
6.56,113.0,9,2,3,7,84.0,65.7,50.1,1
6.93,99.0,10,4,2,3,64.8,65.2,70.5,0
7.37,111.0,3,1,4,6,84.7,79.2,30.0,1
4.95,101.0,8,0,4,3,69.9,70.5,57.7,0
5.38,113.0,1,2,2,7,65.5,54.5,50.7,1
7.89,112.0,9,1,2,7,94.4,62.0,53.2,1
,93.0,9,2,3,8,77.1,73.4,58.5,1
6.78,118.0,10,0,0,2,71.1,34.5,77.1,0
7.02,98.0,2,0,2,9,84.1,51.0,42.7,1
7.42,114.0,4,3,2,5,58.9,75.2,30.0,1
6.35,109.0,8,2,4,9,88.3,83.1,44.4,1
6.07,127.0,7,2,0,10,73.3,80.3,75.3,1
7.24,102.0,1,1,3,5,82.2,78.4,35.3,1
5.83,100.0,5,2,3,7,56.4,66.9,51.4,1
7.49,104.0,7,1,2,9,70.4,49.6,72.6,1
4.96,101.0,4,1,1,4,75.1,62.1,59.1,0
8.23,114.0,1,2,5,2,87.4,35.1,76.9,1
7.57,85.0,9,1,2,9,83.2,84.5,30.0,1
7.31,92.0,5,1,3,2,70.3,52.7,55.2,0
8.18,92.0,2,1,2,3,78.8,57.0,80.1,0
9.0,116.0,8,2,2,10,90.1,80.9,43.1,1
8.22,125.0,2,0,2,2,72.6,40.8,75.5,1
4.79,103.0,3,2,1,3,71.3,47.2,56.5,0
5.46,102.0,10,0,1,6,52.3,69.0,66.5,0
6.25,105.0,1,1,4,3,71.7,72.8,79.0,1
7.03,118.0,2,2,2,10,54.1,63.9,66.4,1
7.62,93.0,7,0,1,8,73.6,64.4,51.1,1
6.13,107.0,10,0,2,6,86.9,84.0,68.4,0
7.22,116.0,2,0,3,7,49.6,74.5,50.1,0
6.09,111.0,6,1,1,1,89.8,72.5,64.1,0
6.27,107.0,3,2,3,3,71.0,76.6,41.2,1
5.31,117.0,4,0,1,3,74.7,60.5,60.4,0
5.89,80.0,8,2,0,2,69.0,97.6,77.8,1
5.38,113.0,3,1,1,7,54.4,30.4,55.5,0
5.83,97.0,10,1,4,9,65.6,86.9,76.4,1
8.26,83.0,6,3,1,4,100.0,78.5,100.0,1
5.86,111.0,1,1,0,5,61.8,68.7,59.6,0
10.0,121.0,7,1,2,3,55.9,66.2,69.2,1
7.59,103.0,8,0,4,9,76.7,62.7,67.2,1
7.22,116.0,8,0,2,4,74.0,81.6,63.4,1
5.97,124.0,3,1,2,5,71.1,64.4,71.8,0
7.84,120.0,10,0,0,1,75.2,54.1,56.3,0
6.31,124.0,1,1,2,2,82.7,78.5,50.1,0
,113.0,9,1,3,9,68.0,88.8,37.1,1
10.0,105.0,6,1,3,2,77.3,36.1,54.9,1
6.88,85.0,9,0,2,5,87.3,100.0,73.5,0
8.38,102.0,7,1,2,8,63.1,49.4,45.9,1
6.16,94.0,1,2,1,3,47.1,50.6,63.7,0
6.96,131.0,1,3,2,6,83.0,46.3,58.2,1
9.12,102.0,6,0,1,4,100.0,65.0,50.7,0
6.25,106.0,5,2,3,7,74.9,45.8,32.2,0
9.17,111.0,9,1,5,10,77.4,47.6,80.4,1
7.85,105.0,2,1,5,3,71.5,54.7,67.8,1
6.33,125.0,8,1,4,6,94.1,67.1,100.0,1
7.76,97.0,5,0,3,10,74.1,68.5,76.2,1
8.17,107.0,2,0,3,9,72.8,83.6,80.1,1
7.75,96.0,10,1,2,10,85.9,83.3,33.8,0
5.12,89.0,6,1,3,1,69.2,80.4,33.5,0
6.13,97.0,10,3,2,3,59.6,61.1,60.6,1
6.7,104.0,8,1,2,2,85.6,37.4,42.8,1
6.91,99.0,4,0,3,8,67.9,37.1,49.8,1
7.74,96.0,2,2,2,7,63.3,80.3,97.9,0
7.21,88.0,5,1,2,2,100.0,77.7,77.8,1
5.4,104.0,2,1,4,6,72.9,55.7,46.0,0
7.46,86.0,2,2,1,3,80.9,43.4,30.0,0
7.73,114.0,6,2,2,8,75.4,49.3,44.7,1
7.67,105.0,10,2,4,10,64.4,67.6,51.6,1
8.3,87.0,9,2,3,3,83.3,67.6,55.2,1
8.0,101.0,4,2,3,10,78.8,80.6,40.8,1
7.55,95.0,6,3,2,9,67.1,58.2,76.9,1
6.92,108.0,7,1,2,1,80.2,61.3,49.3,0
5.01,121.0,6,0,4,5,68.8,81.9,69.7,1
7.52,82.0,8,1,3,3,61.7,33.1,60.8,0
7.25,106.0,4,0,2,6,60.5,69.8,74.1,0
7.33,103.0,1,2,1,10,78.2,60.0,56.4,0
5.47,113.0,7,1,0,2,70.4,75.7,46.1,0
5.7,107.0,3,1,5,9,93.0,72.7,51.0,1
8.26,95.0,6,0,2,6,74.5,54.6,51.2,0
6.95,101.0,2,2,3,7,65.6,57.4,91.0,0
7.82,95.0,9,1,1,5,76.9,30.5,61.1,1
7.03,117.0,1,2,3,9,59.5,76.2,60.1,1
7.04,105.0,6,1,4,1,74.0,68.6,73.2,1
8.13,127.0,6,1,3,5,78.8,86.0,60.0,1
6.38,104.0,5,0,1,10,77.3,59.0,76.8,1
7.12,96.0,5,0,3,6,90.6,78.7,54.4,1
6.45,86.0,1,2,3,7,100.0,49.0,52.9,0
6.48,83.0,10,3,2,4,83.1,30.0,45.3,0
6.63,85.0,5,1,4,1,89.1,63.6,87.8,0
7.27,108.0,2,0,3,8,100.0,56.5,59.0,0
6.43,111.0,7,1,4,10,62.9,49.2,42.4,1
8.51,86.0,3,2,3,4,76.6,78.5,63.0,1
5.93,115.0,4,2,1,3,69.3,83.1,50.2,0
6.78,99.0,3,0,2,7,85.1,66.6,54.2,1
6.47,106.0,3,0,1,2,,62.3,64.7,0
8.74,124.0,4,2,4,8,65.2,65.9,82.8,1
7.24,115.0,5,1,3,6,75.1,55.2,61.5,1
8.24,101.0,1,1,3,7,87.6,73.4,49.3,1
5.22,94.0,4,0,2,5,59.4,,52.4,0
7.32,80.0,8,1,1,9,65.4,48.9,69.8,0
8.07,96.0,10,2,3,5,63.6,53.1,30.6,1
7.1,102.0,7,3,2,5,78.9,73.1,44.4,1
8.28,93.0,9,1,1,3,89.9,60.5,63.2,1
6.38,103.0,5,1,3,1,50.9,85.4,34.4,1
8.69,105.0,10,0,0,2,76.1,77.0,55.3,1
9.76,102.0,4,1,2,8,63.9,53.0,52.8,1
6.56,97.0,8,1,2,1,87.1,74.5,73.2,1
6.47,107.0,9,1,1,7,72.2,58.9,56.2,1
8.74,110.0,7,1,5,5,76.6,72.1,77.8,1
8.9,91.0,7,1,1,3,75.0,77.8,61.2,1
6.37,121.0,5,0,1,7,88.5,81.7,86.6,1
6.5,103.0,4,1,1,9,99.6,68.0,39.2,1
6.66,105.0,10,0,3,2,61.4,89.0,84.3,1
5.39,113.0,1,0,2,8,63.6,71.6,53.8,0
,107.0,10,3,3,9,78.9,67.0,82.1,1
5.8,116.0,10,1,0,3,65.2,,77.8,0
6.08,108.0,7,1,0,2,86.2,55.5,30.0,0
6.96,97.0,1,2,2,7,88.1,71.3,67.2,1
7.28,109.0,1,4,3,5,68.4,66.5,75.0,1
8.86,91.0,5,1,4,5,65.8,68.9,79.9,1
5.8,106.0,9,2,1,10,71.7,72.2,42.4,1
8.18,104.0,6,1,2,5,76.2,68.8,68.9,0
6.74,102.0,3,1,4,4,78.8,95.2,62.9,1
6.94,103.0,3,1,2,5,48.0,57.1,66.5,0
7.81,82.0,7,2,4,4,63.4,71.5,75.0,1
5.65,98.0,6,2,1,6,70.2,61.6,77.4,0
7.46,106.0,9,1,4,4,65.4,30.0,50.2,1
7.2,106.0,6,0,3,2,40.6,62.1,64.0,0
7.59,92.0,5,1,4,9,52.3,51.0,60.6,1
7.35,120.0,10,0,3,2,,64.0,56.4,0
9.95,94.0,7,1,2,9,73.6,64.6,57.8,1
6.23,116.0,1,2,4,10,69.8,70.8,62.9,1
6.36,110.0,7,2,2,6,67.4,57.0,51.0,1
6.25,97.0,3,2,2,9,84.6,58.9,73.2,1
6.33,126.0,9,2,3,9,84.6,75.5,79.0,1
6.24,90.0,6,1,3,3,76.8,52.9,47.7,0
8.43,116.0,9,2,4,1,76.4,37.4,79.8,1
8.7,117.0,5,1,1,1,64.7,67.4,47.7,0
6.32,96.0,7,0,3,3,66.2,81.1,73.5,0
6.0,121.0,4,0,3,5,54.5,75.3,79.7,0
7.57,101.0,7,1,1,3,72.0,67.6,58.6,1
6.34,108.0,1,1,2,9,84.4,83.8,47.8,0
7.76,108.0,7,1,2,9,91.3,81.2,51.2,0
7.24,103.0,8,2,2,3,72.1,60.0,65.4,1
5.18,114.0,5,0,5,3,80.9,68.7,89.5,1
8.86,114.0,2,0,3,5,40.7,69.4,34.6,1
9.16,84.0,5,3,3,2,69.8,63.7,61.5,1
6.26,120.0,6,0,5,6,69.5,82.0,58.7,1
6.53,85.0,2,1,2,7,92.9,62.7,53.2,0
7.34,117.0,6,1,3,9,79.7,57.5,58.8,1
7.4,118.0,6,1,2,6,80.9,30.0,51.9,0
7.79,91.0,1,0,4,3,80.3,53.0,78.6,0
9.41,100.0,1,0,1,5,75.5,45.3,80.1,0
6.79,91.0,10,0,4,4,93.4,64.4,61.3,0
6.04,102.0,3,1,1,5,47.3,46.2,57.9,0
5.34,101.0,10,1,2,8,76.8,74.1,52.6,1
6.12,114.0,10,0,3,8,88.6,81.6,61.4,1
6.96,120.0,3,1,2,6,52.3,64.5,87.7,1
9.15,121.0,4,2,3,1,85.1,50.2,58.4,1
6.38,98.0,2,0,2,8,65.9,69.3,47.4,0
7.27,102.0,9,1,3,8,76.3,93.4,54.0,1
6.98,84.0,10,2,1,2,,88.7,71.3,0
8.43,,7,1,1,4,86.5,43.9,49.2,0
10.0,116.0,7,1,2,2,71.5,43.4,59.5,0
6.36,124.0,6,1,2,4,85.1,39.5,67.1,1
6.41,90.0,3,2,1,10,80.2,47.9,50.4,1
8.25,97.0,6,2,2,7,65.5,68.8,33.5,1
7.82,104.0,8,1,2,9,81.0,56.6,43.9,1
9.22,108.0,8,2,1,8,67.0,52.4,47.1,1
7.7,95.0,9,1,3,9,75.8,80.6,56.6,1
6.57,110.0,1,1,4,8,71.3,73.0,60.7,1
7.71,99.0,1,1,1,2,85.8,39.4,72.4,0
8.33,104.0,3,0,3,7,81.5,79.7,41.6,0
7.98,111.0,3,2,3,2,74.6,72.6,70.2,0
7.61,105.0,10,1,2,2,66.8,72.9,54.4,0
8.28,99.0,8,1,3,4,59.8,56.4,33.2,1
8.4,103.0,10,2,2,1,76.6,62.2,60.2,1
8.66,103.0,1,0,2,5,67.4,35.4,79.7,0
7.78,100.0,2,1,0,6,52.5,78.0,73.2,0
6.8,101.0,2,0,3,9,59.0,50.0,58.9,1
7.18,124.0,3,2,3,10,94.5,51.9,76.9,1
8.45,111.0,6,2,0,8,67.1,51.7,62.9,1
6.02,101.0,1,1,2,2,88.0,92.0,74.7,1
7.44,113.0,2,2,5,1,70.7,55.0,35.1,1
6.53,100.0,1,1,2,2,89.9,79.1,41.3,0
7.03,119.0,5,2,2,7,89.0,64.6,70.9,1
8.53,109.0,7,1,4,4,65.1,52.6,83.1,1
7.23,103.0,8,1,3,10,51.1,49.8,66.3,1
7.06,110.0,10,3,3,5,52.2,55.6,52.5,1
5.37,86.0,1,1,3,7,65.3,63.9,47.2,1
7.9,91.0,7,0,4,3,97.7,74.0,55.3,0
7.77,90.0,5,1,2,10,70.1,57.9,78.2,0
9.6,106.0,10,3,2,2,76.7,57.4,54.9,1
6.63,125.0,1,1,2,7,90.6,51.8,75.7,0
7.26,131.0,3,0,5,5,76.3,47.1,69.8,1
7.3,112.0,7,1,3,1,75.9,45.8,85.7,1
8.89,111.0,10,1,1,1,82.5,79.8,63.0,1
6.89,83.0,1,0,4,9,78.5,57.1,59.3,1
7.33,98.0,7,2,2,5,73.8,58.4,76.5,0
7.73,95.0,5,4,1,1,66.3,55.0,46.0,1
7.22,97.0,1,1,3,7,75.9,60.2,53.3,1
6.46,102.0,1,1,2,9,88.1,70.6,34.8,0
7.23,99.0,1,1,4,1,96.4,57.7,41.2,1
8.29,81.0,9,0,1,10,78.5,67.7,88.9,1
5.77,113.0,3,2,4,4,84.1,86.3,70.4,1
7.16,92.0,5,1,3,3,78.2,52.7,39.4,0
6.16,107.0,10,1,1,5,,58.4,77.9,1
8.43,129.0,9,2,5,7,81.2,74.6,49.4,1
5.17,93.0,6,1,2,8,89.3,87.5,69.6,0
6.33,80.0,9,1,2,2,64.4,46.4,69.4,0
7.45,101.0,8,0,2,7,57.6,39.5,85.0,1
8.88,118.0,8,2,4,1,68.6,65.0,51.9,1
6.92,128.0,1,3,2,7,77.5,63.4,48.9,1
6.33,90.0,9,1,1,8,85.4,75.5,30.0,0
9.26,110.0,6,3,1,2,63.1,73.2,58.2,1
5.26,99.0,9,0,2,9,45.1,64.5,70.9,0
4.36,103.0,3,1,3,1,68.9,80.7,72.9,0
